"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Wilmer Flores","Diamondbacks","18","75","69","19","4","0","3","9","10","5","9","1","0","0","",".282",".331",".471",".802",".337","","105","-0.2","-0.2","","0.2","-0.3","0.2","5827"
"Gleyber Torres","Yankees","56","231","205","54","9","0","10","30","32","21","53","2","3","1","",".265",".337",".464",".801",".337","","109","-0.2","-2.0","","2.4","0.0","1.0","16997"
"Jeff McNeil","Mets","55","247","223","65","14","1","6","32","24","15","32","5","4","1","",".293",".348",".447",".794",".336","","112","0.5","-0.5","","4.4","-1.8","1.0","15362"
"Eric Thames","Brewers","29","118","101","24","5","1","6","15","16","14","36","2","1","0","",".238",".336",".469",".805",".336","","105","0.0","-0.6","","0.8","-1.9","0.3","3711"
"Justin Upton","Angels","54","232","203","50","10","0","12","31","34","24","70","2","3","1","",".246",".331",".467",".798",".336","","113","0.4","-0.9","","4.2","-3.3","0.9","5222"
"Ryan Zimmerman","Nationals","42","176","158","41","9","0","8","22","26","15","37","1","1","0","",".262",".327",".473",".801",".335","","104","-0.1","-0.6","","0.8","-3.6","0.3","4220"
"Starling Marte","Pirates","58","260","239","68","13","2","9","34","32","13","47","5","11","4","",".285",".333",".464",".797",".335","","107","0.8","-0.1","","3.3","0.8","1.2","9241"
"Trea Turner","Nationals","57","263","235","67","13","2","7","39","27","21","52","2","17","4","",".283",".345",".448",".793",".335","","104","2.2","-0.5","","3.4","2.1","1.4","16252"
"Chris Iannetta","Rockies","25","97","83","20","5","0","4","12","12","12","26","1","0","0","",".248",".347",".447",".794",".335","","90","-0.5","-0.3","","-1.7","1.1","0.2","8267"
"Jorge Polanco","Twins","58","259","233","66","14","2","7","36","30","20","41","2","4","2","",".282",".342",".448",".790",".334","","106","0.3","-2.0","","2.3","-0.3","1.1","13152"
"Yoenis Cespedes","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".256",".320",".488",".808",".334","","110","0.0","0.0","","0.0","0.0","0.0","13110"
"Bryan Reynolds","Pirates","53","232","207","59","11","1","6","28","25","19","49","2","3","1","",".286",".349",".434",".783",".334","","106","0.4","-0.4","","2.3","-2.1","0.7","19326"
"Franmil Reyes","Padres","52","221","199","50","8","0","13","29","32","19","58","1","0","0","",".252",".318",".486",".803",".334","","107","0.0","-1.0","","2.1","-2.9","0.6","14566"
"Aaron Hicks","Yankees","49","212","181","44","9","1","9","28","27","27","46","1","3","1","",".244",".343",".439",".782",".334","","107","0.5","-0.1","","2.4","0.6","1.0","5297"
"Mitch Moreland","Red Sox","31","131","116","29","7","0","6","17","19","13","30","1","0","0","",".251",".328",".468",".796",".333","","103","-0.4","0.6","","0.1","-1.5","0.3","3086"
"Trey Mancini","Orioles","60","263","239","64","12","1","11","33","35","19","62","3","1","0","",".267",".326",".470",".796",".333","","107","0.0","-1.9","","2.5","-5.4","0.6","15149"
"Ozzie Albies","Braves","57","242","220","61","13","2","8","30","30","17","40","2","5","2","",".279",".332",".464",".796",".333","","103","0.9","1.9","","1.7","2.8","1.2","16556"
"Stephen Piscotty","Athletics","47","198","175","46","11","0","7","25","26","18","41","3","1","1","",".260",".335",".450",".785",".333","","110","-0.3","-0.4","","2.2","-2.7","0.6","13367"
"Yuli Gurriel","Astros","52","219","205","59","13","1","8","28","31","10","26","2","2","1","",".286",".324",".469",".793",".333","","111","-0.5","-0.9","","2.7","-2.8","0.7","19198"
"Ian Desmond","Rockies","43","175","158","43","8","1","7","22","23","13","43","2","4","1","",".270",".328",".461",".790",".333","","89","0.3","-0.9","","-2.3","-0.5","0.3","6885"
"Mark Canha","Athletics","28","115","101","25","6","0","5","15","15","11","27","2","1","0","",".248",".331",".456",".787",".332","","109","0.0","0.1","","1.4","-1.3","0.4","11445"
"Yandy Diaz","Rays","51","220","191","53","10","1","5","26","24","26","42","1","2","1","",".276",".362",".406",".768",".332","","110","-0.1","-0.3","","2.7","-1.9","0.8","16578"
"Buster Posey","Giants","41","177","157","44","9","0","4","20","20","17","25","2","1","0","",".280",".352",".424",".777",".331","","106","-0.7","1.9","","0.7","4.4","1.4","9166"
"David Dahl","Rockies","55","237","217","59","12","2","9","31","32","16","61","2","4","2","",".272",".323",".470",".793",".331","","88","0.4","-0.5","","-3.4","-1.8","0.2","13744"
"Nick Markakis","Braves","57","240","212","59","13","1","5","28","29","24","34","2","1","0","",".279",".353",".423",".776",".331","","101","-0.7","-1.6","","-0.3","-4.0","0.3","5930"
"Maikel Franco","Phillies","51","204","184","49","9","0","10","25","30","17","29","1","0","0","",".265",".327",".488",".815",".331","","103","-0.5","-0.5","","0.3","0.2","0.7","12179"
"Jung Ho Kang","Pirates","22","88","79","20","4","0","4","10","12","7","22","1","0","0","",".256",".323",".464",".787",".331","","105","0.0","-0.5","","0.5","-0.3","0.3","17182"
"Jesus Aguilar","Brewers","36","146","129","32","6","0","7","18","21","14","38","1","0","0","",".246",".325",".461",".787",".330","","101","-0.3","0.0","","-0.1","-1.5","0.3","11342"
"Eric Hosmer","Padres","59","260","233","63","12","1","9","32","32","23","51","1","2","1","",".270",".336",".448",".784",".330","","105","-0.6","0.2","","1.1","-4.3","0.5","3516"
"J.T. Realmuto","Phillies","49","208","189","51","11","1","8","25","28","14","44","3","2","1","",".269",".325",".462",".787",".330","","103","0.6","1.6","","1.3","4.8","1.3","11739"
"Mitch Haniger","Mariners","39","174","152","38","8","1","7","23","21","17","42","3","2","1","",".251",".333",".448",".781",".330","","111","-0.1","-1.0","","2.2","-2.0","0.6","14274"
"Matt Joyce","Braves","12","46","39","9","2","0","2","6","6","6","10","0","0","0","",".241",".342",".431",".773",".330","","101","0.0","-0.1","","0.0","-0.1","0.1","3353"
"Keston Hiura","Brewers","51","211","193","52","11","1","9","25","30","13","56","3","5","2","",".268",".321",".469",".790",".330","","101","0.2","-0.8","","0.4","0.0","0.7","20003"
"Derek Dietrich","Reds","54","225","196","48","9","1","9","27","29","17","55","9","1","0","",".245",".332",".449",".781",".330","","100","0.1","-1.8","","0.2","-2.2","0.5","10542"
"Marcus Semien","Athletics","57","259","229","60","13","1","9","36","28","25","45","1","5","2","",".263",".336",".443",".778",".330","","108","0.4","-1.4","","3.1","1.2","1.3","12533"
"Nomar Mazara","Rangers","56","239","216","57","11","1","10","30","34","19","51","2","2","1","",".265",".328",".458",".786",".330","","98","-0.3","-0.4","","-0.9","-3.1","0.4","14553"
"Justin Bour","Angels","18","75","65","16","3","0","4","10","11","8","18","0","0","0","",".244",".331",".455",".786",".329","","109","-0.4","0.1","","0.4","-1.0","0.2","9744"
"Marwin Gonzalez","Twins","52","216","194","52","11","1","7","27","28","17","47","2","1","1","",".269",".333",".447",".780",".329","","103","-0.2","-0.3","","0.7","-1.4","0.7","5497"
"Roberto Ramos","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".259",".325",".460",".785",".329","","87","0.0","0.0","","0.0","0.0","0.0","sa829199"
"Yonathan Daza","Rockies","3","13","12","4","1","0","0","1","1","1","2","0","0","0","",".308",".340",".435",".776",".329","","87","0.0","0.0","","-0.2","-0.1","0.0","15794"
"Lorenzo Cain","Brewers","54","244","217","61","12","1","6","33","24","21","42","2","8","2","",".279",".348",".418",".766",".329","","100","0.8","1.9","","0.8","2.7","1.1","9077"
"Austin Listi","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".331",".448",".779",".329","","102","0.0","0.0","","0.0","0.0","0.0","sa3004170"
"Jonathan Schoop","Twins","48","196","181","48","11","0","9","25","29","9","45","3","1","0","",".266",".308",".483",".791",".329","","103","-0.3","-0.9","","0.4","-0.4","0.7","11265"
"Brian Dozier","Nationals","49","208","181","44","10","0","9","26","27","22","45","2","3","1","",".243",".330",".446",".777",".329","","99","0.5","-0.7","","0.3","-0.1","0.7","9810"
"Mike Ford","Yankees","3","11","9","2","0","0","0","1","1","1","2","0","0","0","",".247",".334",".444",".779",".329","","103","0.0","0.0","","0.0","-0.2","0.0","15585"
"Kevin Cron","Diamondbacks","2","8","7","2","0","0","0","1","1","1","2","0","0","0","",".249",".310",".480",".790",".328","","99","0.0","0.0","","0.0","-0.1","0.0","16211"
"Garrett Cooper","Marlins","57","251","225","61","12","1","8","29","28","20","57","3","0","0","",".271",".335",".437",".773",".328","","106","-0.2","0.8","","1.7","-2.5","0.7","15279"
"Luis Robert","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".272",".315",".470",".785",".328","","106","0.0","0.0","","0.0","0.0","0.0","sa3003396"
"Willians Astudillo","Twins","14","56","53","16","3","0","2","7","7","2","3","1","1","0","",".299",".325",".455",".780",".328","","102","-0.1","0.0","","0.1","0.2","0.2","15608"
"Austin Meadows","Rays","48","212","192","51","10","2","8","28","26","16","45","2","6","2","",".267",".326",".461",".787",".328","","107","0.3","-0.2","","2.2","-3.3","0.6","15672"
"Alex Verdugo","Dodgers","45","190","173","49","10","1","5","23","23","14","26","1","2","1","",".281",".337",".438",".775",".328","","105","0.2","1.3","","1.5","1.2","0.9","17027"
"Yoan Moncada","White Sox","60","265","233","59","11","2","10","34","30","27","77","2","5","2","",".253",".332",".443",".775",".328","","106","0.9","-0.1","","2.9","0.8","1.3","17232"
"Carlos Peguero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".324",".454",".778",".328","","99","0.0","0.0","","0.0","0.0","0.0","8760"
"Mitch Garver","Twins","22","94","83","21","4","0","3","12","12","9","23","1","0","0","",".255",".329",".445",".775",".328","","102","0.0","-0.4","","0.2","0.8","0.3","15161"
